,train,val,test
0,train,val,test
1,lr_init:0.07,lr_init:0.07,lr_init:0.07
2,lr_base:1.1,lr_base:1.1,lr_base:1.1
3,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
4,1000,1000,1000
5,0,0,0
6,0.4852,0.4621,0.493
7,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
8,1000,1000,1000
9,0,0,0
10,0.5,0.5,0.5
11,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
12,1000,1000,1000
13,0,0,0
14,0.5,0.5,0.5
15,lr_base:2.1,lr_base:2.1,lr_base:2.1
16,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
17,1000,1000,1000
18,0,0,0
19,0.4812,0.4621,0.493
20,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
21,1000,1000,1000
22,0,0,0
23,0.5,0.5,0.5
24,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
25,1000,1000,1000
26,0,0,0
27,0.5,0.5,0.5
28,lr_base:3.1,lr_base:3.1,lr_base:3.1
29,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
30,1000,1000,1000
31,0,0,0
32,0.4726,0.4621,0.493
33,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
34,1000,1000,1000
35,0,0,0
36,0.5,0.5,0.5
37,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
38,1000,1000,1000
39,0,0,0
40,0.4799,0.4621,0.493
41,lr_base:4.1,lr_base:4.1,lr_base:4.1
42,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
43,1000,1000,1000
44,0,0,0
45,0.4789,0.4621,0.4859
46,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
47,1000,1000,1000
48,0,0,0
49,0.5,0.5,0.5
50,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
51,1000,1000,1000
52,0,0,0
53,0.4809,0.4621,0.493
54,lr_init:0.007,lr_init:0.007,lr_init:0.007
55,lr_base:1.1,lr_base:1.1,lr_base:1.1
56,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
57,1000,1000,1000
58,0,0,0
59,0.5326,0.5346,0.4965
60,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
61,1000,1000,1000
62,0,0,0
63,0.5263,0.4919,0.4834
64,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
65,1000,1000,1000
66,0,0,0
67,0.4951,0.4414,0.4709
68,lr_base:2.1,lr_base:2.1,lr_base:2.1
69,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
70,1000,1000,1000
71,0,0,0
72,0.4495,0.4665,0.4464
73,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
74,1000,1000,1000
75,0,0,0
76,0.5031,0.5092,0.5534
77,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
78,1000,1000,1000
79,0,0,0
80,0.5189,0.4952,0.5233
81,lr_base:3.1,lr_base:3.1,lr_base:3.1
82,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
83,1000,1000,1000
84,0,0,0
85,0.4712,0.5179,0.4413
86,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
87,1000,1000,1000
88,0,0,0
89,0.4938,0.5136,0.4498
90,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
91,1000,1000,1000
92,0,0,0
93,0.4833,0.4538,0.4409
94,lr_base:4.1,lr_base:4.1,lr_base:4.1
95,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
96,1000,1000,1000
97,0,0,0
98,0.5796,0.5858,0.6064
99,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
100,1000,1000,1000
101,0,0,0
102,0.6203,0.6244,0.6099
103,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
104,1000,1000,1000
105,0,0,0
106,0.4815,0.4612,0.4237
107,lr_init:0.0007,lr_init:0.0007,lr_init:0.0007
108,lr_base:1.1,lr_base:1.1,lr_base:1.1
109,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
110,1000,1000,1000
111,0,0,0
112,0.6164,0.7023,0.5671
113,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
114,1000,1000,1000
115,0,0,0
116,0.5887,0.6059,0.5511
117,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
118,1000,1000,1000
119,0,0,0
120,0.5799,0.599,0.5147
121,lr_base:2.1,lr_base:2.1,lr_base:2.1
122,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
123,1000,1000,1000
124,0,0,0
125,0.5494,0.4862,0.5428
126,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
127,1000,1000,1000
128,0,0,0
129,0.5306,0.4665,0.4709
130,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
131,1000,1000,1000
132,0,0,0
133,0.5403,0.5419,0.5094
134,lr_base:3.1,lr_base:3.1,lr_base:3.1
135,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
136,1000,1000,1000
137,0,0,0
138,0.4853,0.489,0.5182
139,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
140,1000,1000,1000
141,0,0,0
142,0.5145,0.5175,0.4572
143,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
144,1000,1000,1000
145,0,0,0
146,0.5759,0.5809,0.5675
147,lr_base:4.1,lr_base:4.1,lr_base:4.1
148,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
149,1000,1000,1000
150,0,0,0
151,0.5088,0.4695,0.5237
152,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
153,1000,1000,1000
154,0,0,0
155,0.4818,0.4258,0.4231
