,train,val,test
0,train,val,test
1,lr_init:0.07,lr_init:0.07,lr_init:0.07
2,lr_base:1.1,lr_base:1.1,lr_base:1.1
3,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
4,1000,1000,1000
5,0,0,0
6,0.4877,0.4507,0.4921
7,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
8,1000,1000,1000
9,0,0,0
10,0.4833,0.4507,0.4762
11,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
12,1000,1000,1000
13,0,0,0
14,0.5,0.5,0.5
15,lr_base:2.1,lr_base:2.1,lr_base:2.1
16,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
17,1000,1000,1000
18,0,0,0
19,0.5,0.5,0.5
20,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
21,1000,1000,1000
22,0,0,0
23,0.5,0.5,0.5
24,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
25,1000,1000,1000
26,0,0,0
27,0.5,0.5,0.5
28,lr_base:3.1,lr_base:3.1,lr_base:3.1
29,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
30,1000,1000,1000
31,0,0,0
32,0.5,0.5,0.5
33,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
34,1000,1000,1000
35,0,0,0
36,0.4815,0.4437,0.4762
37,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
38,1000,1000,1000
39,0,0,0
40,0.471,0.4366,0.4762
41,lr_base:4.1,lr_base:4.1,lr_base:4.1
42,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
43,1000,1000,1000
44,0,0,0
45,0.5096,0.5493,0.5079
46,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
47,1000,1000,1000
48,0,0,0
49,0.5,0.5,0.5
50,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
51,1000,1000,1000
52,0,0,0
53,0.4826,0.4507,0.4921
54,lr_init:0.007,lr_init:0.007,lr_init:0.007
55,lr_base:1.1,lr_base:1.1,lr_base:1.1
56,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
57,1000,1000,1000
58,0,0,0
59,0.4656,0.4971,0.4919
60,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
61,1000,1000,1000
62,0,0,0
63,0.5646,0.4631,0.5
64,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
65,1000,1000,1000
66,0,0,0
67,0.4656,0.4288,0.458
68,lr_base:2.1,lr_base:2.1,lr_base:2.1
69,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
70,1000,1000,1000
71,0,0,0
72,0.44,0.4631,0.4143
73,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
74,1000,1000,1000
75,0,0,0
76,0.4959,0.4652,0.4433
77,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
78,1000,1000,1000
79,0,0,0
80,0.5618,0.4464,0.57
81,lr_base:3.1,lr_base:3.1,lr_base:3.1
82,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
83,1000,1000,1000
84,0,0,0
85,0.547,0.5696,0.6208
86,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
87,1000,1000,1000
88,0,0,0
89,0.476,0.4591,0.4208
90,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
91,1000,1000,1000
92,0,0,0
93,0.5096,0.4282,0.4472
94,lr_base:4.1,lr_base:4.1,lr_base:4.1
95,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
96,1000,1000,1000
97,0,0,0
98,0.5287,0.5059,0.553
99,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
100,1000,1000,1000
101,0,0,0
102,0.5399,0.4616,0.4741
103,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
104,1000,1000,1000
105,0,0,0
106,0.5018,0.4499,0.472
107,lr_init:0.0007,lr_init:0.0007,lr_init:0.0007
108,lr_base:1.1,lr_base:1.1,lr_base:1.1
109,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
110,1000,1000,1000
111,0,0,0
112,0.4803,0.4851,0.4038
113,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
114,1000,1000,1000
115,0,0,0
116,0.5511,0.4605,0.5218
117,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
118,1000,1000,1000
119,0,0,0
120,0.5633,0.5804,0.6161
121,lr_base:2.1,lr_base:2.1,lr_base:2.1
122,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
123,1000,1000,1000
124,0,0,0
125,0.461,0.4245,0.4022
126,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
127,1000,1000,1000
128,0,0,0
129,0.5597,0.4853,0.529
130,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
131,1000,1000,1000
132,0,0,0
133,0.5226,0.5225,0.5442
134,lr_base:3.1,lr_base:3.1,lr_base:3.1
135,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
136,1000,1000,1000
137,0,0,0
138,0.491,0.5123,0.4875
139,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
140,1000,1000,1000
141,0,0,0
142,0.5499,0.4763,0.4673
143,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
144,1000,1000,1000
145,0,0,0
146,0.6123,0.5702,0.5746
147,lr_base:4.1,lr_base:4.1,lr_base:4.1
148,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
149,1000,1000,1000
150,0,0,0
151,0.5776,0.4628,0.5542
152,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
153,1000,1000,1000
154,0,0,0
155,0.5394,0.5839,0.6294
