,target_col,fold,task_name,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
0,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5606,0.5607,0.5821
1,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6192,0.5691,0.6112
2,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.643,0.6234,0.6767
3,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.7201,0.6422,0.7217
4,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.7198,0.632,0.7268
5,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-100.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.4824,0.4634,0.4748
6,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-10.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5208,0.4806,0.4769
7,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-1.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6242,0.5411,0.6148
8,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.1,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.669,0.5945,0.6667
9,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.01,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6319,0.6205,0.6844
