,train,val,test
0,train,val,test
1,1,1,1
2,0,0,0
3,0.556,0.5425,0.5331
4,0.5916,0.5667,0.5386
5,0.6521,0.5926,0.5624
6,0.5663,0.5969,0.4731
7,0.5824,0.5407,0.5687
8,0.5922,0.5403,0.5637
9,0.6556,0.5583,0.6042
10,0.6488,0.5614,0.5829
11,0.6473,0.5425,0.6068
12,0.6325,0.5828,0.5827
13,0.6586,0.5814,0.5968
14,0.644,0.5372,0.5994
15,0.6507,0.5687,0.5958
16,0.6536,0.5636,0.5956
17,0.6771,0.5777,0.5976
18,0.6619,0.5699,0.596
19,0.6652,0.5695,0.605
20,0.6497,0.5834,0.5996
21,0.6547,0.562,0.5958
22,0.6563,0.5423,0.5954
23,0.6837,0.5564,0.5948
24,0.6734,0.5524,0.5922
25,0.651,0.5556,0.5946
26,0.6943,0.5599,0.5942
27,0.6612,0.5634,0.5954
28,0.6722,0.563,0.5986
29,0.6825,0.5699,0.6012
30,0.6505,0.5575,0.598
31,0.6795,0.5622,0.597
32,0.6629,0.5566,0.6002
33,0.6605,0.5587,0.6038
34,0.655,0.5697,0.6052
35,0.6325,0.5697,0.6028
36,0.6445,0.5677,0.6064
37,0.6583,0.5736,0.6042
38,0.6661,0.5763,0.6032
39,0.6708,0.5634,0.608
40,0.6516,0.5773,0.6066
41,0.6528,0.5726,0.6078
42,0.6842,0.5771,0.6056
43,0.6706,0.5685,0.608
44,0.6675,0.5759,0.6052
45,0.6536,0.5751,0.6066
46,0.6758,0.5734,0.6074
47,0.6702,0.5742,0.6076
48,0.6686,0.5738,0.6074
49,0.6598,0.5783,0.6064
50,0.6754,0.5773,0.6056
51,0.6715,0.5785,0.6058
52,0.6889,0.5783,0.6058
53,100,100,100
54,0,0,0
55,0.6434,0.5509,0.5657
56,0.6487,0.5368,0.6201
57,0.6223,0.5591,0.5392
58,0.6194,0.5646,0.5376
59,0.6192,0.572,0.5217
60,0.5943,0.5675,0.5219
61,0.5815,0.5822,0.4602
62,0.6104,0.5519,0.5472
63,0.6195,0.5538,0.5847
64,0.6184,0.5609,0.555
65,0.6671,0.5613,0.5928
66,0.64,0.5519,0.5721
67,0.6336,0.5675,0.5586
68,0.649,0.5544,0.5871
69,0.6421,0.5556,0.5831
70,0.6224,0.5583,0.5534
71,0.6734,0.5679,0.5564
72,0.646,0.5728,0.5653
73,0.6633,0.5732,0.5795
74,0.6275,0.5654,0.5588
75,0.6048,0.5677,0.5191
76,0.6643,0.5532,0.5829
77,0.6266,0.545,0.5902
78,0.6463,0.564,0.5755
79,0.6376,0.5634,0.5779
80,0.6509,0.5519,0.5825
81,0.6374,0.5534,0.5789
82,0.6285,0.5566,0.5733
83,0.6758,0.5591,0.5878
84,0.6487,0.5554,0.5863
85,0.679,0.5689,0.5737
86,0.6406,0.564,0.5894
87,0.6533,0.5589,0.5886
88,0.6238,0.5605,0.5777
89,0.6373,0.5571,0.5821
90,0.6244,0.5548,0.5851
91,0.6697,0.5517,0.5783
92,0.6509,0.5558,0.5743
93,0.6519,0.555,0.5765
94,0.6455,0.555,0.5767
95,0.6455,0.5558,0.5757
96,0.6471,0.556,0.5765
97,0.6229,0.5556,0.5763
98,0.6391,0.5515,0.5769
99,0.6402,0.5499,0.5793
100,0.6689,0.5511,0.5797
101,0.6697,0.5501,0.5789
102,0.6401,0.5513,0.5767
103,0.6782,0.5524,0.5763
104,0.6411,0.5515,0.5781
105,1000,1000,1000
106,0,0,0
107,0.4718,0.5033,0.3864
108,0.5746,0.5329,0.5124
109,0.5466,0.492,0.5452
110,0.4214,0.4853,0.4159
111,0.5308,0.5945,0.4239
112,0.5211,0.5658,0.4106
113,0.5223,0.5722,0.3787
114,0.5193,0.5795,0.4075
115,0.566,0.5299,0.5373
116,0.5858,0.5325,0.5414
117,0.6116,0.5581,0.5179
118,0.5779,0.5487,0.5351
119,0.6379,0.5926,0.4728
120,0.6131,0.5681,0.5114
121,0.6048,0.5836,0.4853
122,0.6364,0.592,0.4896
123,0.6098,0.5712,0.5227
124,0.6233,0.5967,0.4908
125,0.5891,0.5927,0.4873
126,0.5952,0.5787,0.5226
127,0.5821,0.5904,0.4455
128,0.5994,0.589,0.4522
129,0.5527,0.5947,0.4207
130,0.5563,0.5861,0.3873
131,0.5173,0.5779,0.3753
132,0.5816,0.5869,0.453
133,0.5736,0.5937,0.4173
134,0.6288,0.5933,0.4641
135,0.6107,0.5936,0.4902
136,0.5963,0.5624,0.5267
137,0.5854,0.5885,0.4486
138,0.6033,0.592,0.4506
139,0.6231,0.6014,0.4839
140,0.5784,0.5902,0.4554
141,0.6066,0.5962,0.4655
142,0.5991,0.596,0.4673
143,0.5916,0.5912,0.4588
144,0.5908,0.5904,0.4896
145,0.6186,0.5638,0.5307
146,0.6105,0.5819,0.5149
147,0.614,0.5912,0.503
148,0.5933,0.5841,0.508
149,0.628,0.5776,0.5161
150,0.6197,0.5912,0.499
151,0.599,0.5887,0.5056
152,0.6214,0.5924,0.4998
153,0.6116,0.5953,0.4942
154,0.5916,0.5798,0.5127
155,0.6278,0.5869,0.504
156,0.6286,0.5963,0.4827
