,train,val,test
0,train,val,test
1,1,1,1
2,0,0,0
3,0.4751,0.5444,0.4231
4,0.4783,0.5405,0.4494
5,0.5683,0.5886,0.5557
6,0.6328,0.638,0.6236
7,0.5891,0.6378,0.6
8,0.635,0.6123,0.671
9,0.5935,0.6364,0.5968
10,0.5679,0.5002,0.6037
11,0.6247,0.6153,0.6773
12,0.6218,0.5955,0.672
13,0.6417,0.6309,0.6775
14,0.6055,0.5431,0.6545
15,0.6231,0.5853,0.671
16,0.6425,0.6595,0.6417
17,0.6251,0.6464,0.6635
18,0.6441,0.6076,0.6712
19,0.6511,0.6094,0.6702
20,0.65,0.629,0.6702
21,0.6245,0.6057,0.6698
22,0.6355,0.5914,0.6704
23,0.6204,0.6286,0.6669
24,0.6468,0.6364,0.669
25,0.6386,0.6436,0.6653
26,0.6518,0.6264,0.6659
27,0.6268,0.5685,0.6582
28,0.6352,0.6245,0.6645
29,0.6359,0.6386,0.661
30,0.6345,0.6526,0.6592
31,0.6458,0.6096,0.6667
32,0.6614,0.6252,0.6665
33,0.626,0.6114,0.6647
34,0.6299,0.599,0.6614
35,0.6559,0.6376,0.6643
36,0.6353,0.6262,0.6651
37,0.6393,0.6145,0.6647
38,0.6529,0.6174,0.6667
39,0.6605,0.6139,0.6653
40,0.6473,0.6241,0.6663
41,0.6694,0.6346,0.6645
42,0.6198,0.6211,0.6659
43,0.6428,0.6315,0.6643
44,0.6625,0.6252,0.6651
45,0.6292,0.6241,0.6663
46,0.6319,0.6145,0.6653
47,0.6588,0.6262,0.6655
48,0.6405,0.6217,0.6663
49,0.6415,0.6241,0.6669
50,0.6569,0.6135,0.6647
51,0.6346,0.617,0.6659
52,0.6441,0.617,0.6649
53,100,100,100
54,0,0,0
55,0.4324,0.5125,0.5327
56,0.5853,0.5526,0.607
57,0.6177,0.5237,0.562
58,0.6234,0.5865,0.6006
59,0.6407,0.6045,0.586
60,0.6174,0.6166,0.5966
61,0.6005,0.5546,0.6208
62,0.6118,0.562,0.6236
63,0.6194,0.5597,0.6216
64,0.6175,0.5611,0.6145
65,0.6275,0.6031,0.6185
66,0.609,0.5309,0.6133
67,0.6148,0.6329,0.646
68,0.6122,0.5949,0.6291
69,0.6274,0.6141,0.6527
70,0.6317,0.6194,0.66
71,0.6482,0.6,0.6619
72,0.636,0.6458,0.6499
73,0.6253,0.5996,0.6594
74,0.6342,0.5971,0.658
75,0.6208,0.6268,0.6653
76,0.6227,0.6413,0.6373
77,0.6404,0.6288,0.6617
78,0.623,0.6035,0.6578
79,0.6284,0.626,0.6677
80,0.618,0.6464,0.6515
81,0.6545,0.6147,0.6704
82,0.6349,0.6337,0.6594
83,0.65,0.6362,0.6574
84,0.6393,0.6427,0.6482
85,0.6134,0.6295,0.6578
86,0.6395,0.6311,0.6568
87,0.6214,0.6149,0.6677
88,0.6412,0.6131,0.6649
89,0.6513,0.6121,0.6647
90,0.6326,0.6153,0.6688
91,0.6251,0.6215,0.6604
92,0.6428,0.6123,0.6657
93,0.635,0.6227,0.6606
94,0.654,0.619,0.6606
95,0.5986,0.6211,0.6602
96,0.6352,0.6106,0.6641
97,0.6153,0.6115,0.6659
98,0.6232,0.611,0.6641
99,0.6348,0.6112,0.6647
100,0.6279,0.6123,0.6637
101,0.6301,0.6114,0.6635
102,0.5955,0.6121,0.6623
103,0.6311,0.6117,0.6629
104,0.6167,0.6133,0.6616
105,1000,1000,1000
106,0,0,0
107,0.4343,0.4705,0.391
108,0.4456,0.492,0.3921
109,0.6019,0.5087,0.5923
110,0.5797,0.5123,0.6251
111,0.5655,0.4922,0.6159
112,0.5883,0.5037,0.6183
113,0.5726,0.5019,0.6257
114,0.6078,0.5184,0.6383
115,0.5931,0.5986,0.6723
116,0.5736,0.5313,0.6541
117,0.5796,0.4965,0.6186
118,0.5495,0.5161,0.6246
119,0.4678,0.5413,0.4471
120,0.4996,0.5755,0.5495
121,0.5404,0.5916,0.5805
122,0.4914,0.5753,0.5661
123,0.4894,0.5388,0.4471
124,0.5753,0.5219,0.6403
125,0.5837,0.5477,0.6409
126,0.5346,0.6066,0.5758
127,0.5254,0.594,0.5787
128,0.518,0.5753,0.5884
129,0.4795,0.5295,0.4683
130,0.5781,0.4989,0.6354
131,0.5431,0.4855,0.6212
132,0.5446,0.5988,0.587
133,0.4454,0.5455,0.4496
134,0.4709,0.5571,0.5099
135,0.5668,0.4868,0.625
136,0.5515,0.4984,0.6295
137,0.576,0.5059,0.6312
138,0.4681,0.5438,0.4738
139,0.5726,0.6207,0.5988
140,0.5302,0.4832,0.5992
141,0.5524,0.4921,0.6151
142,0.5844,0.4922,0.6119
143,0.5662,0.4914,0.607
144,0.568,0.4953,0.6155
145,0.6032,0.5058,0.6246
146,0.5987,0.5092,0.6292
147,0.5732,0.5092,0.6383
148,0.5663,0.4969,0.6152
149,0.5787,0.4998,0.6247
150,0.5423,0.4988,0.623
151,0.5631,0.5023,0.6353
152,0.5705,0.5004,0.6217
153,0.5647,0.5066,0.6321
154,0.5813,0.6014,0.6361
155,0.5329,0.6176,0.5846
156,0.5678,0.6186,0.6207
