,train,val,test
0,train,val,test
1,lr_init:0.07,lr_init:0.07,lr_init:0.07
2,lr_base:1.1,lr_base:1.1,lr_base:1.1
3,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
4,1000,1000,1000
5,0,0,0
6,0.4844,0.4747,0.4857
7,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
8,1000,1000,1000
9,0,0,0
10,0.5,0.5,0.5
11,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
12,1000,1000,1000
13,0,0,0
14,0.5,0.5,0.5
15,lr_base:2.1,lr_base:2.1,lr_base:2.1
16,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
17,1000,1000,1000
18,0,0,0
19,0.5,0.5,0.5
20,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
21,1000,1000,1000
22,0,0,0
23,0.4788,0.4747,0.4855
24,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
25,1000,1000,1000
26,0,0,0
27,0.4842,0.4747,0.4861
28,lr_base:3.1,lr_base:3.1,lr_base:3.1
29,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
30,1000,1000,1000
31,0,0,0
32,0.5,0.5,0.5
33,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
34,1000,1000,1000
35,0,0,0
36,0.5,0.5,0.5
37,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
38,1000,1000,1000
39,0,0,0
40,0.4844,0.4747,0.4859
41,lr_base:4.1,lr_base:4.1,lr_base:4.1
42,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
43,1000,1000,1000
44,0,0,0
45,0.4705,0.4747,0.4792
46,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
47,1000,1000,1000
48,0,0,0
49,0.4797,0.4747,0.4855
50,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
51,1000,1000,1000
52,0,0,0
53,0.5,0.5,0.5
54,lr_init:0.007,lr_init:0.007,lr_init:0.007
55,lr_base:1.1,lr_base:1.1,lr_base:1.1
56,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
57,1000,1000,1000
58,0,0,0
59,0.5172,0.5123,0.5162
60,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
61,1000,1000,1000
62,0,0,0
63,0.5791,0.5358,0.5695
64,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
65,1000,1000,1000
66,0,0,0
67,0.4397,0.5157,0.4558
68,lr_base:2.1,lr_base:2.1,lr_base:2.1
69,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
70,1000,1000,1000
71,0,0,0
72,0.5071,0.5273,0.5158
73,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
74,1000,1000,1000
75,0,0,0
76,0.5656,0.5328,0.5317
77,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
78,1000,1000,1000
79,0,0,0
80,0.4932,0.5348,0.5217
81,lr_base:3.1,lr_base:3.1,lr_base:3.1
82,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
83,1000,1000,1000
84,0,0,0
85,0.5025,0.5093,0.4331
86,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
87,1000,1000,1000
88,0,0,0
89,0.5422,0.5471,0.539
90,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
91,1000,1000,1000
92,0,0,0
93,0.5135,0.5344,0.5301
94,lr_base:4.1,lr_base:4.1,lr_base:4.1
95,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
96,1000,1000,1000
97,0,0,0
98,0.47,0.4941,0.4726
99,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
100,1000,1000,1000
101,0,0,0
102,0.5189,0.5394,0.5326
103,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
104,1000,1000,1000
105,0,0,0
106,0.4064,0.5154,0.358
107,lr_init:0.0007,lr_init:0.0007,lr_init:0.0007
108,lr_base:1.1,lr_base:1.1,lr_base:1.1
109,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
110,1000,1000,1000
111,0,0,0
112,0.4954,0.5322,0.5219
113,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
114,1000,1000,1000
115,0,0,0
116,0.5653,0.534,0.5561
117,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
118,1000,1000,1000
119,0,0,0
120,0.5615,0.5392,0.5747
121,lr_base:2.1,lr_base:2.1,lr_base:2.1
122,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
123,1000,1000,1000
124,0,0,0
125,0.4917,0.5099,0.4685
126,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
127,1000,1000,1000
128,0,0,0
129,0.5524,0.5471,0.5331
130,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
131,1000,1000,1000
132,0,0,0
133,0.3905,0.4413,0.3938
134,lr_base:3.1,lr_base:3.1,lr_base:3.1
135,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
136,1000,1000,1000
137,0,0,0
138,0.4881,0.3853,0.4368
139,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
140,1000,1000,1000
141,0,0,0
142,0.4767,0.5352,0.4845
143,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01,lr_exp_multiplier:-0.01
144,1000,1000,1000
145,0,0,0
146,0.6497,0.6195,0.6512
147,lr_base:4.1,lr_base:4.1,lr_base:4.1
148,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0,lr_exp_multiplier:-10.0
149,1000,1000,1000
150,0,0,0
151,0.5467,0.5247,0.5456
152,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0,lr_exp_multiplier:-1.0
153,1000,1000,1000
154,0,0,0
155,0.6052,0.586,0.6019
