,train,val,test
0,train,val,test
1,1,1,1
2,0,0,0
3,0.486,0.5283,0.4802
4,0.5319,0.5433,0.517
5,0.5757,0.5771,0.5805
6,0.5863,0.597,0.5815
7,0.6057,0.5994,0.611
8,0.6211,0.6019,0.6116
9,0.5104,0.5606,0.5288
10,0.6346,0.6027,0.6191
11,0.6392,0.6588,0.6459
12,0.6508,0.6344,0.6099
13,0.5994,0.6189,0.5934
14,0.6215,0.6407,0.6341
15,0.6315,0.6474,0.6361
16,0.6156,0.6356,0.593
17,0.6387,0.6478,0.6371
18,0.6309,0.6517,0.6363
19,0.6396,0.6519,0.6371
20,0.6245,0.6505,0.6347
21,0.6519,0.6484,0.6377
22,0.6303,0.6509,0.631
23,0.6184,0.6503,0.632
24,0.6306,0.6494,0.6306
25,0.6286,0.6366,0.6285
26,0.6451,0.6604,0.6424
27,0.649,0.6602,0.6441
28,0.6508,0.6612,0.6451
29,0.6331,0.6625,0.6422
30,0.6552,0.6556,0.6345
31,0.63,0.6633,0.6436
32,0.6219,0.6639,0.6432
33,0.6328,0.6637,0.6422
34,0.6515,0.6633,0.6404
35,0.6483,0.6649,0.6441
36,0.6327,0.6673,0.6438
37,0.6319,0.6678,0.6426
38,0.6418,0.6637,0.643
39,0.6604,0.6678,0.642
40,0.6671,0.6629,0.642
41,0.6222,0.6631,0.642
42,0.6399,0.6645,0.6436
43,0.6588,0.6627,0.6398
44,0.6708,0.6617,0.6396
45,0.6392,0.6651,0.6445
46,0.6494,0.6686,0.6441
47,0.6634,0.6694,0.6428
48,0.6672,0.6684,0.6428
49,0.6382,0.6675,0.6434
50,0.6551,0.6684,0.6436
51,0.6403,0.6667,0.6453
52,0.6586,0.6677,0.6441
53,100,100,100
54,0,0,0
55,0.4377,0.4953,0.4975
56,0.4612,0.488,0.4855
57,0.5857,0.6303,0.5766
58,0.6136,0.6208,0.5879
59,0.5625,0.5486,0.5306
60,0.567,0.5939,0.5819
61,0.5653,0.6098,0.565
62,0.5759,0.6006,0.5593
63,0.5615,0.546,0.5153
64,0.5774,0.5738,0.5488
65,0.5592,0.5846,0.5462
66,0.5917,0.6202,0.5754
67,0.5829,0.6126,0.5633
68,0.5635,0.6025,0.5525
69,0.5917,0.6131,0.5595
70,0.5841,0.6147,0.5619
71,0.5949,0.6338,0.6126
72,0.6202,0.6295,0.6152
73,0.5815,0.5874,0.5766
74,0.583,0.6466,0.6091
75,0.6166,0.6415,0.6206
76,0.6372,0.6466,0.6242
77,0.6342,0.6454,0.6212
78,0.6193,0.6397,0.6263
79,0.6173,0.6509,0.6287
80,0.6163,0.6407,0.6295
81,0.6161,0.6596,0.6304
82,0.6094,0.6529,0.6298
83,0.6338,0.6494,0.6293
84,0.6013,0.6562,0.6291
85,0.6379,0.6456,0.6289
86,0.6102,0.6434,0.6302
87,0.6624,0.6448,0.6338
88,0.6224,0.658,0.6273
89,0.6498,0.6521,0.6304
90,0.6039,0.6438,0.6314
91,0.6233,0.6543,0.6302
92,0.6243,0.6492,0.6318
93,0.634,0.6529,0.6302
94,0.6251,0.647,0.6342
95,0.6007,0.6438,0.6312
96,0.629,0.6431,0.6314
97,0.606,0.6466,0.6336
98,0.6408,0.6519,0.6314
99,0.6167,0.6458,0.6322
100,0.6371,0.646,0.6334
101,0.6318,0.6458,0.6338
102,0.6269,0.647,0.6336
103,0.6191,0.6482,0.6336
104,0.6544,0.6474,0.6338
105,1000,1000,1000
106,0,0,0
107,0.4308,0.4725,0.4757
108,0.5895,0.5413,0.5025
109,0.5205,0.5415,0.4992
110,0.5385,0.5734,0.4973
111,0.5625,0.5897,0.5198
112,0.6612,0.6411,0.6042
113,0.4936,0.5355,0.5067
114,0.5536,0.5775,0.5307
115,0.51,0.4994,0.4892
116,0.5043,0.5108,0.4891
117,0.5282,0.5401,0.5242
118,0.4742,0.5134,0.4979
119,0.5384,0.5317,0.5029
120,0.5992,0.6207,0.5988
121,0.5777,0.5693,0.5258
122,0.4759,0.4909,0.4829
123,0.5041,0.5133,0.4929
124,0.5359,0.5277,0.5048
125,0.452,0.4487,0.4451
126,0.454,0.465,0.4585
127,0.4968,0.5384,0.5257
128,0.4975,0.5274,0.5167
129,0.4897,0.5286,0.5082
130,0.5282,0.5193,0.4947
131,0.4429,0.4347,0.4338
132,0.5573,0.521,0.5215
133,0.5693,0.5206,0.5302
134,0.5576,0.5137,0.5202
135,0.5147,0.5031,0.4971
136,0.5048,0.4795,0.4704
137,0.5615,0.5719,0.5518
138,0.6221,0.6375,0.6472
139,0.4853,0.5224,0.5112
140,0.5088,0.5346,0.5243
141,0.5659,0.5428,0.53
142,0.5742,0.563,0.5697
143,0.521,0.521,0.5311
144,0.5632,0.5387,0.555
145,0.4823,0.5098,0.5118
146,0.4673,0.4813,0.483
147,0.4944,0.5193,0.511
148,0.6319,0.6053,0.5824
149,0.5977,0.5698,0.5746
150,0.5959,0.5859,0.5824
151,0.6186,0.5864,0.5771
152,0.5996,0.5637,0.5522
153,0.5935,0.6136,0.6108
154,0.538,0.551,0.5367
155,0.5838,0.5562,0.5603
156,0.5718,0.5455,0.5421
