,train,val,test
0,train,val,test
1,1,1,1
2,0,0,0
3,0.5398,0.6055,0.4957
4,0.5371,0.5761,0.5804
5,0.6112,0.6051,0.5771
6,0.5638,0.6063,0.5728
7,0.5526,0.5166,0.662
8,0.5486,0.5949,0.5168
9,0.5115,0.5515,0.4564
10,0.5946,0.5205,0.6703
11,0.6356,0.613,0.6802
12,0.6474,0.6811,0.6493
13,0.6244,0.5848,0.6796
14,0.6547,0.6759,0.6258
15,0.6391,0.6578,0.6513
16,0.6474,0.6757,0.653
17,0.6572,0.6753,0.6409
18,0.636,0.6682,0.6685
19,0.6365,0.6905,0.6464
20,0.6461,0.6961,0.6407
21,0.6681,0.6876,0.6554
22,0.6547,0.6923,0.656
23,0.6598,0.6878,0.6597
24,0.6682,0.6671,0.6755
25,0.6369,0.6787,0.6552
26,0.6369,0.669,0.6611
27,0.6568,0.6428,0.6877
28,0.6623,0.6813,0.655
29,0.6421,0.6925,0.6495
30,0.649,0.6548,0.6777
31,0.6471,0.685,0.6476
32,0.6742,0.6375,0.6836
33,0.6635,0.6949,0.6474
34,0.6524,0.6682,0.6701
35,0.6486,0.6876,0.654
36,0.6695,0.686,0.6568
37,0.6544,0.6884,0.6579
38,0.6508,0.6866,0.6628
39,0.6739,0.6793,0.6646
40,0.6681,0.6826,0.664
41,0.6739,0.6426,0.6967
42,0.6439,0.6679,0.6785
43,0.6665,0.6746,0.671
44,0.6515,0.6799,0.6656
45,0.6571,0.6821,0.6626
46,0.6806,0.6671,0.6773
47,0.6677,0.6686,0.6751
48,0.6751,0.6728,0.6714
49,0.6547,0.6882,0.6607
50,0.6412,0.6848,0.662
51,0.6668,0.6864,0.6597
52,0.653,0.6838,0.6614
53,100,100,100
54,0,0,0
55,0.5061,0.559,0.4382
56,0.5651,0.563,0.5305
57,0.5405,0.5442,0.5217
58,0.6334,0.6653,0.6464
59,0.5299,0.5667,0.4845
60,0.5946,0.6738,0.6374
61,0.5857,0.6469,0.5959
62,0.6174,0.6568,0.6112
63,0.6016,0.6402,0.5879
64,0.6462,0.6842,0.6335
65,0.6293,0.672,0.6231
66,0.5728,0.5625,0.6679
67,0.5454,0.5868,0.4977
68,0.6033,0.6187,0.6442
69,0.5899,0.5998,0.5159
70,0.5915,0.6369,0.5953
71,0.5882,0.6112,0.5569
72,0.6311,0.5649,0.6789
73,0.5932,0.6572,0.6202
74,0.6358,0.6627,0.6164
75,0.617,0.6606,0.6452
76,0.6471,0.6499,0.6523
77,0.617,0.6381,0.6689
78,0.62,0.6347,0.6526
79,0.6404,0.6361,0.654
80,0.6258,0.6487,0.6509
81,0.6376,0.6688,0.6524
82,0.6224,0.6714,0.6509
83,0.647,0.6527,0.6556
84,0.6283,0.6714,0.6501
85,0.6151,0.6229,0.6843
86,0.629,0.6499,0.6646
87,0.6513,0.6483,0.6691
88,0.6339,0.6675,0.6581
89,0.6205,0.6716,0.6577
90,0.6365,0.6718,0.6558
91,0.6167,0.675,0.6566
92,0.6701,0.6698,0.6564
93,0.6456,0.6718,0.656
94,0.6383,0.6724,0.6564
95,0.6108,0.6661,0.6577
96,0.6509,0.6783,0.6556
97,0.6251,0.6763,0.6569
98,0.6479,0.6775,0.6571
99,0.6381,0.6767,0.6564
100,0.6396,0.6757,0.656
101,0.637,0.6744,0.6566
102,0.6456,0.6698,0.6585
103,0.6419,0.6702,0.6585
104,0.6307,0.6696,0.6587
105,1000,1000,1000
106,0,0,0
107,0.5172,0.4897,0.5914
108,0.4854,0.5414,0.4299
109,0.53,0.4974,0.6276
110,0.5729,0.6144,0.5335
111,0.5757,0.5318,0.64
112,0.5173,0.5368,0.4346
113,0.6368,0.6661,0.5907
114,0.4411,0.5101,0.3699
115,0.472,0.5193,0.3804
116,0.4903,0.5357,0.4047
117,0.4824,0.513,0.3701
118,0.4373,0.5176,0.373
119,0.486,0.5074,0.3661
120,0.4515,0.5087,0.3788
121,0.4418,0.5099,0.3671
122,0.45,0.5072,0.3607
123,0.4428,0.5053,0.3646
124,0.4785,0.5089,0.3693
125,0.4478,0.5047,0.3665
126,0.4665,0.501,0.3723
127,0.4692,0.5031,0.3683
128,0.4319,0.5024,0.3671
129,0.4678,0.5181,0.3797
130,0.4389,0.5148,0.3841
131,0.4875,0.5052,0.3771
132,0.4521,0.5059,0.3744
133,0.4728,0.5059,0.371
134,0.4568,0.5126,0.3767
135,0.4578,0.5158,0.3906
136,0.4624,0.5146,0.3772
137,0.4753,0.5114,0.3772
138,0.4555,0.5083,0.3738
139,0.4592,0.5073,0.3734
140,0.4473,0.5014,0.3675
141,0.4561,0.5016,0.369
142,0.4652,0.5029,0.3693
143,0.4472,0.5053,0.373
144,0.4469,0.5086,0.3759
145,0.4507,0.514,0.3814
146,0.4853,0.5213,0.3899
147,0.4548,0.5108,0.3792
148,0.4518,0.5122,0.381
149,0.4537,0.5179,0.39
150,0.4495,0.5182,0.3946
151,0.4841,0.5139,0.3863
152,0.4551,0.5147,0.3847
153,0.4758,0.5189,0.3912
154,0.4596,0.5172,0.3857
155,0.4575,0.5195,0.3891
156,0.4851,0.5136,0.3829
