,a,b,c,d,e,mean
train,0.4784,0.4877,0.4852,0.4844,0.5,0.4871
val,0.4746,0.4507,0.4621,0.4747,0.5,0.4724
test,0.4766,0.4921,0.493,0.4857,0.5,0.4895
train,0.5,0.4833,0.5,0.5,0.5,0.4967
val,0.5,0.4507,0.5,0.5,0.5,0.4901
test,0.5,0.4762,0.5,0.5,0.5,0.4952
train,0.5,0.5,0.5,0.5,0.5,0.5
val,0.5,0.5,0.5,0.5,0.5,0.5
test,0.5,0.5,0.5,0.5,0.5,0.5
train,0.4719,0.5,0.4812,0.5,0.4799,0.4866
val,0.4746,0.5,0.4621,0.5,0.5062,0.4886
test,0.4764,0.5,0.493,0.5,0.4929,0.4925
train,0.5,0.5,0.5,0.4788,0.5,0.4958
val,0.5,0.5,0.5,0.4747,0.5,0.4949
test,0.5,0.5,0.5,0.4855,0.5,0.4971
train,0.5,0.5,0.5,0.4842,0.5,0.4968
val,0.5,0.5,0.5,0.4747,0.5,0.4949
test,0.5,0.5,0.5,0.4861,0.5,0.4972
train,0.5,0.5,0.4726,0.5,0.4667,0.4879
val,0.5,0.5,0.4621,0.5,0.5062,0.4937
test,0.5,0.5,0.493,0.5,0.4857,0.4957
train,0.5,0.4815,0.5,0.5,0.5,0.4963
val,0.5,0.4437,0.5,0.5,0.5,0.4887
test,0.5,0.4762,0.5,0.5,0.5,0.4952
train,0.4819,0.471,0.4799,0.4844,0.4779,0.479
val,0.4746,0.4366,0.4621,0.4747,0.5062,0.4708
test,0.4835,0.4762,0.493,0.4859,0.4929,0.4863
train,0.4753,0.5096,0.4789,0.4705,0.5,0.4869
val,0.4746,0.5493,0.4621,0.4747,0.5,0.4921
test,0.4762,0.5079,0.4859,0.4792,0.5,0.4898
train,0.5,0.5,0.5,0.4797,0.5,0.4959
val,0.5,0.5,0.5,0.4747,0.5,0.4949
test,0.5,0.5,0.5,0.4855,0.5,0.4971
train,0.5,0.4826,0.4809,0.5,0.5,0.4927
val,0.5,0.4507,0.4621,0.5,0.5,0.4826
test,0.5,0.4921,0.493,0.5,0.5,0.497
train,0.5322,0.4656,0.5326,0.5172,0.4989,0.5093
val,0.5198,0.4971,0.5346,0.5123,0.6247,0.5377
test,0.5445,0.4919,0.4965,0.5162,0.412,0.4922
train,0.6143,0.5646,0.5263,0.5791,0.5772,0.5723
val,0.5541,0.4631,0.4919,0.5358,0.4519,0.4994
test,0.5693,0.5,0.4834,0.5695,0.6239,0.5492
train,0.429,0.4656,0.4951,0.4397,0.4876,0.4634
val,0.4806,0.4288,0.4414,0.5157,0.5599,0.4853
test,0.5559,0.458,0.4709,0.4558,0.3587,0.4599
train,0.4495,0.44,0.4495,0.5071,0.4544,0.4601
val,0.4667,0.4631,0.4665,0.5273,0.5428,0.4933
test,0.5549,0.4143,0.4464,0.5158,0.4018,0.4666
train,0.556,0.4959,0.5031,0.5656,0.4956,0.5232
val,0.5522,0.4652,0.5092,0.5328,0.5873,0.5293
test,0.488,0.4433,0.5534,0.5317,0.4103,0.4853
train,0.4762,0.5618,0.5189,0.4932,0.5009,0.5102
val,0.4758,0.4464,0.4952,0.5348,0.4536,0.4812
test,0.5492,0.57,0.5233,0.5217,0.553,0.5434
train,0.4673,0.547,0.4712,0.5025,0.4664,0.4909
val,0.4824,0.5696,0.5179,0.5093,0.5719,0.5302
test,0.5079,0.6208,0.4413,0.4331,0.3699,0.4746
