,Unnamed: 0,target_col,fold,task_name,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc,train_auc_sd,val_auc_sd,test_auc_sd
0,0,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5061,0.5232,0.5136,0.0355,0.0206,0.0488
1,1,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6044,0.5915,0.6096,0.0123,0.0401,0.0162
2,2,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6534,0.6323,0.672,0.014,0.0239,0.0147
3,3,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.7029,0.6516,0.7141,0.0167,0.0265,0.0205
4,4,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6771,0.6451,0.7,0.0358,0.0243,0.0158
5,5,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-100.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5337,0.4958,0.5231,0.0487,0.0642,0.0426
6,6,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-10.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5383,0.5187,0.5361,0.0282,0.053,0.0635
7,7,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-1.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5782,0.5665,0.5793,0.0422,0.0738,0.0561
8,8,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.1,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6395,0.6285,0.6593,0.0235,0.0288,0.0126
9,9,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.01,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6739,0.6485,0.6938,0.0218,0.0197,0.015
10,10,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-100.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5748,0.558,0.5836,0.0299,0.0089,0.02
11,11,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-10.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5198,0.5012,0.5204,0.0169,0.0589,0.0437
12,12,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-1.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5598,0.5829,0.5656,0.0454,0.0262,0.0205
13,13,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.1,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6199,0.607,0.6364,0.03,0.015,0.0257
14,14,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.01,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6628,0.6454,0.6901,0.0183,0.026,0.0073
15,15,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-100.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.553,0.5629,0.5582,0.0263,0.0332,0.026
16,16,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-10.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5703,0.5327,0.5526,0.0378,0.0525,0.0567
17,17,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-1.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5552,0.5148,0.551,0.0353,0.0452,0.0485
18,18,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.1,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6119,0.6018,0.6213,0.0375,0.0157,0.0302
19,19,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.01,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6447,0.6387,0.6809,0.0256,0.0289,0.0055
