,Unnamed: 0,target_col,fold,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc,train_auc_sd,val_auc_sd,test_auc_sd
0,0,0,0,50,50,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6621,0.6319,0.6705,0.0105,0.0251,0.0125
1,1,0,0,50,50,64,128,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6407,0.6366,0.6726,0.021,0.0207,0.0048
2,2,0,0,50,50,64,128,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6447,0.6347,0.6848,0.0156,0.0273,0.0099
3,3,0,0,50,50,64,128,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6671,0.6252,0.6787,0.0147,0.0251,0.0115
4,4,0,0,50,50,64,128,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.665,0.6386,0.6931,0.026,0.0126,0.0181
5,5,0,0,50,50,64,128,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6635,0.6346,0.6925,0.02,0.0269,0.0128
6,6,0,0,50,50,64,256,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6571,0.6398,0.679,0.0145,0.0251,0.0136
7,7,0,0,50,50,64,256,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6537,0.6259,0.6686,0.0128,0.016,0.0083
8,8,0,0,50,50,64,256,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6704,0.636,0.6839,0.0153,0.0196,0.0073
9,9,0,0,50,50,64,256,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6601,0.6384,0.6846,0.0181,0.0168,0.0171
10,10,0,0,50,50,64,256,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6548,0.6472,0.7039,0.0274,0.0233,0.0301
11,11,0,0,50,50,64,256,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6517,0.6368,0.6934,0.0233,0.0154,0.0141
12,12,0,0,50,50,64,512,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6313,0.6357,0.6681,0.0161,0.0166,0.0165
13,13,0,0,50,50,64,512,2,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6753,0.6379,0.679,0.0043,0.0227,0.0087
14,14,0,0,50,50,64,512,3,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6348,0.6359,0.6807,0.0119,0.0194,0.0112
15,15,0,0,50,50,64,512,3,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6524,0.6376,0.6878,0.0115,0.0294,0.0172
16,16,0,0,50,50,64,512,5,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6652,0.6364,0.7144,0.0246,0.0097,0.0329
17,17,0,0,50,50,64,512,5,0.2,0,0.1,1000.0,0.1,0,0,0.0007,2.718,-0.1,supervised0,results/supervised0.output,results/auc_file_supervised0.csv,results/test_auc_per_epoch_supervised0.csv,results/param_optim_supervised0.csv,0.6731,0.6455,0.7067,0.0327,0.0213,0.0196
