target_col:[3]
train_num = 1141, val_num = 0, test_num = 286
col:3
Epoch:000, Test AUC: 0.4968
Epoch:001, Test AUC: 0.5366
Epoch:002, Test AUC: 0.4877
Epoch:003, Test AUC: 0.5342
Epoch:004, Test AUC: 0.4819
Epoch:005, Test AUC: 0.5242
Epoch:006, Test AUC: 0.4843
Epoch:007, Test AUC: 0.5072
Epoch:008, Test AUC: 0.5210
Epoch:009, Test AUC: 0.5050
Epoch:010, Test AUC: 0.5031
Epoch:011, Test AUC: 0.5052
Epoch:012, Test AUC: 0.5040
Epoch:013, Test AUC: 0.5009
Epoch:014, Test AUC: 0.5024
Epoch:015, Test AUC: 0.4981
Epoch:016, Test AUC: 0.4946
Epoch:017, Test AUC: 0.5026
Epoch:018, Test AUC: 0.5011
Epoch:019, Test AUC: 0.4973
Epoch:020, Test AUC: 0.5037
Epoch:021, Test AUC: 0.5027
Epoch:022, Test AUC: 0.5058
Epoch:023, Test AUC: 0.4989
Epoch:024, Test AUC: 0.5058
Epoch:025, Test AUC: 0.5016
Epoch:026, Test AUC: 0.5090
Epoch:027, Test AUC: 0.5060
Epoch:028, Test AUC: 0.5143
Epoch:029, Test AUC: 0.5109
Epoch:030, Test AUC: 0.5184
Epoch:031, Test AUC: 0.5144
Epoch:032, Test AUC: 0.5217
Epoch:033, Test AUC: 0.5191
Epoch:034, Test AUC: 0.5234
Epoch:035, Test AUC: 0.5224
Epoch:036, Test AUC: 0.5245
Epoch:037, Test AUC: 0.5248
Epoch:038, Test AUC: 0.5263
Epoch:039, Test AUC: 0.5262
Epoch:040, Test AUC: 0.5274
Epoch:041, Test AUC: 0.5283
Epoch:042, Test AUC: 0.5284
Epoch:043, Test AUC: 0.5281
Epoch:044, Test AUC: 0.5292
Epoch:045, Test AUC: 0.5289
Epoch:046, Test AUC: 0.5297
Epoch:047, Test AUC: 0.5291
Epoch:048, Test AUC: 0.5284
Epoch:049, Test AUC: 0.5281
Epoch:050, Test AUC: 0.5281
Epoch:051, Test AUC: 0.5285
Epoch:052, Test AUC: 0.5285
Epoch:053, Test AUC: 0.5281
Epoch:054, Test AUC: 0.5277
Epoch:055, Test AUC: 0.5279
Epoch:056, Test AUC: 0.5279
Epoch:057, Test AUC: 0.5282
Epoch:058, Test AUC: 0.5277
Epoch:059, Test AUC: 0.5277
Epoch:060, Test AUC: 0.5279
Epoch:061, Test AUC: 0.5277
Epoch:062, Test AUC: 0.5274
Epoch:063, Test AUC: 0.5279
Epoch:064, Test AUC: 0.5278
Epoch:065, Test AUC: 0.5280
Epoch:066, Test AUC: 0.5280
Epoch:067, Test AUC: 0.5285
Epoch:068, Test AUC: 0.5284
Epoch:069, Test AUC: 0.5290
Epoch:070, Test AUC: 0.5300
Epoch:071, Test AUC: 0.5305
Epoch:072, Test AUC: 0.5310
Epoch:073, Test AUC: 0.5318
Epoch:074, Test AUC: 0.5329
Epoch:075, Test AUC: 0.5330
Epoch:076, Test AUC: 0.5329
Epoch:077, Test AUC: 0.5331
Epoch:078, Test AUC: 0.5332
Epoch:079, Test AUC: 0.5335
Epoch:080, Test AUC: 0.5338
Epoch:081, Test AUC: 0.5341
Epoch:082, Test AUC: 0.5339
Epoch:083, Test AUC: 0.5347
Epoch:084, Test AUC: 0.5348
Epoch:085, Test AUC: 0.5348
Epoch:086, Test AUC: 0.5349
Epoch:087, Test AUC: 0.5350
Epoch:088, Test AUC: 0.5351
Epoch:089, Test AUC: 0.5353
Epoch:090, Test AUC: 0.5362
Epoch:091, Test AUC: 0.5363
Epoch:092, Test AUC: 0.5364
Epoch:093, Test AUC: 0.5368
Epoch:094, Test AUC: 0.5369
Epoch:095, Test AUC: 0.5369
Epoch:096, Test AUC: 0.5368
Epoch:097, Test AUC: 0.5369
Epoch:098, Test AUC: 0.5367
Epoch:099, Test AUC: 0.5369
[[...]]
