target_col:[2]
train_num = 1141, val_num = 0, test_num = 286
col:2
Epoch:000, Test AUC: 0.3086
Epoch:001, Test AUC: 0.3086
Epoch:002, Test AUC: 0.3133
Epoch:003, Test AUC: 0.3180
Epoch:004, Test AUC: 0.3204
Epoch:005, Test AUC: 0.3392
Epoch:006, Test AUC: 0.3322
Epoch:007, Test AUC: 0.3475
Epoch:008, Test AUC: 0.3404
Epoch:009, Test AUC: 0.3852
Epoch:010, Test AUC: 0.3451
Epoch:011, Test AUC: 0.3993
Epoch:012, Test AUC: 0.3545
Epoch:013, Test AUC: 0.4028
Epoch:014, Test AUC: 0.3687
Epoch:015, Test AUC: 0.4075
Epoch:016, Test AUC: 0.3675
Epoch:017, Test AUC: 0.4028
Epoch:018, Test AUC: 0.3628
Epoch:019, Test AUC: 0.4052
Epoch:020, Test AUC: 0.3640
Epoch:021, Test AUC: 0.4040
Epoch:022, Test AUC: 0.3616
Epoch:023, Test AUC: 0.3958
Epoch:024, Test AUC: 0.3569
Epoch:025, Test AUC: 0.3899
Epoch:026, Test AUC: 0.3498
Epoch:027, Test AUC: 0.3816
Epoch:028, Test AUC: 0.3416
Epoch:029, Test AUC: 0.3698
Epoch:030, Test AUC: 0.3357
Epoch:031, Test AUC: 0.3604
Epoch:032, Test AUC: 0.3322
Epoch:033, Test AUC: 0.3616
Epoch:034, Test AUC: 0.3310
Epoch:035, Test AUC: 0.3545
Epoch:036, Test AUC: 0.3274
Epoch:037, Test AUC: 0.3486
Epoch:038, Test AUC: 0.3333
Epoch:039, Test AUC: 0.3451
Epoch:040, Test AUC: 0.3322
Epoch:041, Test AUC: 0.3439
Epoch:042, Test AUC: 0.3428
Epoch:043, Test AUC: 0.3498
Epoch:044, Test AUC: 0.3486
Epoch:045, Test AUC: 0.3522
Epoch:046, Test AUC: 0.3557
Epoch:047, Test AUC: 0.3545
Epoch:048, Test AUC: 0.3557
Epoch:049, Test AUC: 0.3569
Epoch:050, Test AUC: 0.3581
Epoch:051, Test AUC: 0.3569
Epoch:052, Test AUC: 0.3557
Epoch:053, Test AUC: 0.3545
Epoch:054, Test AUC: 0.3569
Epoch:055, Test AUC: 0.3557
Epoch:056, Test AUC: 0.3569
Epoch:057, Test AUC: 0.3592
Epoch:058, Test AUC: 0.3581
Epoch:059, Test AUC: 0.3581
Epoch:060, Test AUC: 0.3569
Epoch:061, Test AUC: 0.3592
Epoch:062, Test AUC: 0.3628
Epoch:063, Test AUC: 0.3628
Epoch:064, Test AUC: 0.3640
Epoch:065, Test AUC: 0.3675
Epoch:066, Test AUC: 0.3663
Epoch:067, Test AUC: 0.3687
Epoch:068, Test AUC: 0.3675
Epoch:069, Test AUC: 0.3687
Epoch:070, Test AUC: 0.3734
Epoch:071, Test AUC: 0.3793
Epoch:072, Test AUC: 0.3804
Epoch:073, Test AUC: 0.3804
Epoch:074, Test AUC: 0.3816
Epoch:075, Test AUC: 0.3828
Epoch:076, Test AUC: 0.3828
Epoch:077, Test AUC: 0.3840
Epoch:078, Test AUC: 0.3863
Epoch:079, Test AUC: 0.3875
Epoch:080, Test AUC: 0.3887
Epoch:081, Test AUC: 0.3922
Epoch:082, Test AUC: 0.3934
Epoch:083, Test AUC: 0.3934
Epoch:084, Test AUC: 0.3946
Epoch:085, Test AUC: 0.3958
Epoch:086, Test AUC: 0.3946
Epoch:087, Test AUC: 0.3946
Epoch:088, Test AUC: 0.3958
Epoch:089, Test AUC: 0.3981
Epoch:090, Test AUC: 0.3969
Epoch:091, Test AUC: 0.3969
Epoch:092, Test AUC: 0.3969
Epoch:093, Test AUC: 0.3958
Epoch:094, Test AUC: 0.3981
Epoch:095, Test AUC: 0.3993
Epoch:096, Test AUC: 0.4005
Epoch:097, Test AUC: 0.4028
Epoch:098, Test AUC: 0.4040
Epoch:099, Test AUC: 0.4052
[[...]]
