,Unnamed: 0,target_col,fold,task_name,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
0,0,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5115,0.521,0.5097
1,1,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6041,0.6441,0.6396
2,2,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.638,0.6377,0.672
3,3,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.7237,0.6754,0.7473
4,4,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6307,0.6411,0.6805
5,5,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-100.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.4686,0.3969,0.4763
6,6,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-10.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.4926,0.4372,0.445
7,7,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-1.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5216,0.4459,0.5176
8,8,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.1,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6293,0.653,0.6609
9,9,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.01,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.685,0.6522,0.7199
10,10,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-100.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5682,0.5732,0.5842
11,11,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-10.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5014,0.3942,0.444
12,12,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-1.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.4888,0.6026,0.5465
13,13,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.1,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6106,0.6147,0.6037
14,14,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.01,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.6666,0.657,0.6937
15,15,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-100.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5087,0.6227,0.5221
16,16,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-10.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5518,0.43799999999999994,0.5004
17,17,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-1.0,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5712,0.579,0.5964
18,18,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.1,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.5504,0.6109,0.5919
19,19,0,1,lr-a1-1,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.01,lr-a1,results/lr-a1.output,results/auc_file_lr-a1.csv,results/test_auc_per_epoch_lr-a1.csv,results/param_optim_lr-a1.csv,0.675,0.6595,0.6909
0,0,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5238,0.4975,0.5542
1,1,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6161,0.6338,0.5949
2,2,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6455,0.6594,0.6613
3,3,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6946,0.6776,0.6907
4,4,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6387,0.6804,0.6882
5,5,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-100.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5772,0.5883,0.5836
6,6,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-10.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5616,0.5808,0.5667
7,7,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-1.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6231,0.6533,0.6572
8,8,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.1,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6395,0.6675,0.6671
9,9,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.01,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6736,0.6675,0.6838
10,10,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-100.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5401,0.5495,0.5539999999999999
11,11,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-10.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5261,0.561,0.5606
12,12,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-1.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5774,0.5987,0.5874
13,13,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.1,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5869,0.6146,0.6126
14,14,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.01,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6811,0.6814,0.6882
15,15,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-100.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5459,0.5456,0.5471
16,16,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-10.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.5760000000000001,0.5683,0.5607
17,17,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-1.0,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.485,0.4401,0.4594
18,18,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.1,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6146,0.6188,0.5996
19,19,0,2,lr-a2-2,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.01,lr-a2,results/lr-a2.output,results/auc_file_lr-a2.csv,results/test_auc_per_epoch_lr-a2.csv,results/param_optim_lr-a2.csv,0.6112,0.6757,0.6821
0,0,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5606,0.5607,0.5821
1,1,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6192,0.5691,0.6112
2,2,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.643,0.6234,0.6767
3,3,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.7201,0.6422,0.7217
4,4,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.7198,0.632,0.7268
5,5,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-100.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.4824,0.4634,0.4748
6,6,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-10.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5208,0.4806,0.4769
7,7,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-1.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6242,0.5411,0.6148
8,8,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.1,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.669,0.5945,0.6667
9,9,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,10.1,-0.01,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6319,0.6205,0.6844
10,10,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-100.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6265,0.5593,0.6016
11,11,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-10.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5008,0.5299,0.5014
12,12,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-1.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5774,0.5710000000000001,0.5499
13,13,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.1,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5963,0.5889,0.6357
14,14,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,100.1,-0.01,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6771,0.6286,0.6947
15,15,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-100.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5722,0.5702,0.5653
16,16,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-10.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5407,0.5428,0.5416
17,17,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-1.0,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.5662,0.5113,0.5858
18,18,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.1,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.636,0.6115,0.6671
19,19,0,3,lr-a3-3,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1000.1,-0.01,lr-a3,results/lr-a3.output,results/auc_file_lr-a3.csv,results/test_auc_per_epoch_lr-a3.csv,results/param_optim_lr-a3.csv,0.6417,0.6031,0.6751
0,0,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-100.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.4674,0.5183,0.4609
1,1,0,4,lr-a4-4,100,30,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-10.0,lr-a4,results/lr-a4.output,results/auc_file_lr-a4.csv,results/test_auc_per_epoch_lr-a4.csv,results/param_optim_lr-a4.csv,0.5971,0.5689,0.6061
