,Unnamed: 0,target_col,fold,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc,train_auc_sd,val_auc_sd,test_auc_sd
0,0,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6296,0.6291,0.6601,0.0212,0.0256,0.0109
1,1,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6558,0.6409,0.681,0.0258,0.0257,0.007
2,2,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,1.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6628,0.6432,0.6859,0.0179,0.0242,0.0124
3,3,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6407,0.6179,0.6365,0.0193,0.0346,0.0309
4,4,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6371,0.6314,0.676,0.0283,0.0279,0.0114
5,5,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,2.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6779,0.6418,0.6878,0.0154,0.0235,0.0107
6,6,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,3.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.5977,0.592,0.6105,0.0185,0.0393,0.0236
7,7,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,3.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6421,0.6306,0.6736,0.0227,0.0285,0.012
8,8,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.0007,3.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6422,0.635,0.6813,0.0191,0.0268,0.0163
9,9,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,1.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6685,0.6359,0.6788,0.0267,0.0176,0.0193
10,10,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,1.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6639,0.6413,0.689,0.0143,0.0319,0.0271
11,11,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,1.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6627,0.6327,0.6735,0.037,0.0307,0.0329
12,12,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,2.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.5805,0.5642,0.5817,0.0357,0.0152,0.0112
13,13,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,2.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6852,0.6439,0.6949,0.0309,0.0258,0.018
14,14,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,2.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.668,0.6314,0.6707,0.0228,0.0265,0.0282
15,15,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,3.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.5677,0.5655,0.5689,0.0121,0.0324,0.0266
16,16,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,3.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6523,0.6324,0.6691,0.0181,0.0255,0.0165
17,17,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.006999999999999999,3.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6648,0.6373,0.677,0.0245,0.0251,0.0175
18,18,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,1.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6755,0.6461,0.6983,0.0221,0.0333,0.0081
19,19,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,1.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6143,0.5865,0.598,0.0585,0.0432,0.0632
20,20,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,1.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.4926,0.489,0.5,0.0078,0.0126,0.0
21,21,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,2.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.547,0.5362,0.5328,0.0294,0.0341,0.04
22,22,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,2.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6972,0.6511,0.6944,0.0197,0.0136,0.0178
23,23,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,2.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.5422,0.5363,0.5455,0.0615,0.0527,0.0558
24,24,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,3.1,-1.0,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.5333,0.5184,0.5258,0.064,0.0386,0.0421
25,25,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,3.1,-0.1,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.6594,0.6373,0.6885,0.0179,0.0337,0.0114
26,26,0,0,50,25,64,128,2,0.2,0,0.1,0.1,0.1,0,0,0.07,3.1,-0.01,lr0,results/lr0.output,results/auc_file_lr0.csv,results/test_auc_per_epoch_lr0.csv,results/param_optim_lr0.csv,0.4768,0.4849,0.4818,0.0304,0.0428,0.0411
